tv 	 segmentId 	 segmentName 	 notMatch 	 num 	 segmentSortOrder 	 statisticsType 	 startTime 	 name 	 place 	 team2 	 regionId 	 team1 	 sortOrder 	 team1Id 	 namePrefix 	 sportId 	 id 	 team2Id 	 liveHalf 	 sportName 	 
[3, 6] 	 72909 	 Муж. UTR Pro Tennis Series. Ньюпорт-Бич 	 none 	 58303 	 1+++w+++5+++2&zzzxz+0QD+++N++1a+FnB 	 BetRadar 	 1641067200 	  	 notActive 	 Томпсон Ч 	 840 	 Корсе Д 	 2-J2CCz-u3r4 	 523090 	 none 	 4 	 32005574 	 529077 	 none 	 Теннис 	 
[4, 6] 	 11781 	 Хоккей. НХЛ 	 none 	 38721 	 1+++I+++0+++0&s9+zzv+++9+0qo++Sm+0s3 	 BetRadar 	 1641060480 	  	 line 	 Баффало Сейбрз 	 none 	 Бостон Брюинз 	 2-HI7R--u+zM 	 497134 	 none 	 2 	 31985624 	 496842 	 none 	 Хоккей 	 
[4, 6] 	 11781 	 Хоккей. НХЛ 	 none 	 38735 	 1+++I+++0+++0&s9+zzv+++9+0qo++Sm+0s3 	 BetRadar 	 1641060480 	  	 line 	 Каролина Харрикейнз 	 none 	 Коламбус Блю Джекетс 	 2-HI7RD-u+za 	 496524 	 none 	 2 	 31985638 	 528433 	 none 	 Хоккей 	 
[4, 6] 	 11781 	 Хоккей. НХЛ 	 none 	 38843 	 1+++I+++0+++0&s9+zzv+++9+0qo++Sm+0s3 	 BetRadar 	 1641060480 	  	 line 	 Монреаль Канадиенс 	 none 	 Флорида Пантерз 	 2-HI7Sv-u--G 	 497130 	 none 	 2 	 31985746 	 497887 	 none 	 Хоккей 	 
[3, 6] 	 72909 	 Муж. UTR Pro Tennis Series. Ньюпорт-Бич 	 none 	 58302 	 1+++w+++5+++2&zzzxz+0QD+++N++1a+FnB 	 BetRadar 	 1641060000 	  	 notActive 	 Бейлон Р 	 840 	 МакКеннон М 	 2-HACCy-u3r3 	 528768 	 none 	 4 	 32005573 	 528763 	 none 	 Теннис 	 
[3, 6] 	 72909 	 Муж. UTR Pro Tennis Series. Ньюпорт-Бич 	 none 	 58301 	 1+++w+++5+++2&zzzxz+0QD+++N++1a+FnB 	 BetRadar 	 1641060000 	  	 notActive 	 Строуд Э 	 840 	 Дехмоубед Ш 	 2-HACCx-u3r2 	 522383 	 none 	 4 	 32005572 	 510640 	 none 	 Теннис 	 
[3] 	 72909 	 Муж. UTR Pro Tennis Series. Ньюпорт-Бич 	 none 	 58304 	 1+++w+++5+++2&zzzxz+0QD+++N++1a+FnB 	 BetRadar 	 1641067200 	  	 notActive 	 Строуд А 	 840 	 Браймер Г 	 2-J2CD+-u3r5 	 366248 	 none 	 4 	 32005575 	 507628 	 none 	 Теннис 	 
[3] 	 72909 	 Муж. UTR Pro Tennis Series. Ньюпорт-Бич 	 none 	 58306 	 1+++w+++5+++2&zzzxz+0QD+++N++1a+FnB 	 BetRadar 	 1641074400 	  	 notActive 	 Тьен Л 	 840 	 Мичелсен А 	 2-KwCD0-u3r7 	 529082 	 none 	 4 	 32005577 	 529226 	 none 	 Теннис 	 
[3] 	 72909 	 Муж. UTR Pro Tennis Series. Ньюпорт-Бич 	 none 	 58305 	 1+++w+++5+++2&zzzxz+0QD+++N++1a+FnB 	 BetRadar 	 1641074400 	  	 notActive 	 Каспер Л 	 840 	 Войцеховски-Осорио Г 	 2-KwCD--u3r6 	 528764 	 none 	 4 	 32005576 	 528766 	 none 	 Теннис 	 
[3] 	 72909 	 Муж. UTR Pro Tennis Series. Ньюпорт-Бич 	 none 	 58307 	 1+++w+++5+++2&zzzxz+0QD+++N++1a+FnB 	 BetRadar 	 1641081600 	  	 notActive 	 Сигуин Б 	 840 	 Хуан О 	 2-MoCD1-u3r8 	 528769 	 none 	 4 	 32005578 	 462142 	 none 	 Теннис 	 
none 	 15100 	 Баскетбол. Жен. NCAA 	 none 	 57526 	 1+++S+++1+++1&zyzQz+++B+1fv+706+1fw 	 BetRadar 	 1641060000 	  	 notActive 	 Пердью Форт Уэйн Мастадонс (ж) 	 none 	 Роберт Морис Колониэлз (ж) 	 2-HAC0q-u3fB 	 427393 	 none 	 3 	 32004813 	 411377 	 none 	 Баскетбол 	 
none 	 73271 	 Футбол. FIFA 22. Лига Про. Западная Конференция. Дивизион ELITE. 2x6 мин. Хабаровск 	 none 	 58769 	 1+++8+++-+++-|+++bz-TwI+Fsq+++8+Fsr 	 BetRadar 	 1641144300 	  	 notActive 	 Атласов (L1R) Зальцбург 	 1 	 Кленов (K11) Интер 	 2-d7CKF-u3yM 	 512774 	 none 	 1 	 32006040 	 514395 	 none 	 Футбол 	 
