level 	 num 	 statisticsType 	 startTime 	 parentId 	 name 	 rootKind 	 place 	 team2 	 team1 	 sortOrder 	 state 	 team1Id 	 namePrefix 	 sportId 	 kind 	 id 	 priority 	 team2Id 	 
3 	 58058 	 none 	 1641059400 	 31935232 	 1-й тайм угловые 	 400000 	 live 	 none 	 none 	 2-H0B4J-tne1+38-tog++39-tog- 	 none 	 0 	  	 13113 	 10100201 	 31935233 	 2 	 0 	 
2 	 58057 	 none 	 1641059400 	 31931011 	 угловые 	 400000 	 live 	 none 	 none 	 2-H0B4J-tne1+38-tog+ 	 none 	 0 	  	 13113 	 400100 	 31935232 	 2 	 0 	 
1 	 53653 	 BetRadar 	 1641059400 	 none 	  	 1 	 live 	 Бейтар Иерусалим 	 Маккаби Нетания 	 2-H0B4J-tne1 	 none 	 381792 	  	 13113 	 1 	 31931011 	 4 	 414321 	 
2 	 55864 	 none 	 1641058200 	 31967827 	 1-й тайм 	 100200 	 live 	 none 	 none 	 2-GiBcr-twdH+-Y-twdI 	 none 	 0 	  	 11918 	 100201 	 31967828 	 2 	 0 	 
1 	 55863 	 BetRadar 	 1641058200 	 none 	  	 1 	 live 	 Вест Хэм Юн 	 Кристал Пэлас 	 2-GiBcr-twdH 	 {'willBeLive': True} 	 474343 	  	 11918 	 1 	 31967827 	 7 	 424414 	 
2 	 52430 	 none 	 1641059220 	 31999444 	 1-й тайм 	 100200 	 live 	 none 	 none 	 2-GzAnB-u2LI+-Y-u2LJ 	 none 	 0 	  	 71532 	 100201 	 31999445 	 2 	 0 	 
1 	 52429 	 BetRadar 	 1641059220 	 none 	  	 1 	 live 	 Ливерпуль (Flewless_phoenix) 	 Челси (mooneycb) 	 2-GzAnB-u2LI 	 none 	 405534 	  	 71532 	 1 	 31999444 	 2 	 413915 	 
2 	 58056 	 none 	 1641059400 	 31931011 	 2-й тайм 	 100200 	 live 	 none 	 none 	 2-H0B4J-tne1+-i-tofz 	 none 	 0 	  	 13113 	 100202 	 31935231 	 2 	 0 	 
2 	 53654 	 none 	 1641059400 	 31931011 	 1-й тайм 	 100200 	 live 	 none 	 none 	 2-H0B4J-tne1+-Y-tne2 	 none 	 0 	  	 13113 	 100201 	 31931012 	 2 	 0 	 
2 	 47592 	 none 	 1641057600 	 31994627 	 4-й сет 	 100500 	 live 	 none 	 none 	 2-GY9bY-u1A1+2C-u1A5 	 none 	 0 	  	 55118 	 100504 	 31994631 	 4 	 0 	 
